AL, 90, 2019092200, 03, IVCN,  24,   0N,    0W,  30,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, IVCN,  36,   0N,    0W,  39,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, IVCN,  48,   0N,    0W,  45,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, IVCN,  60,   0N,    0W,  53,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, IVCN,  72,   0N,    0W,  61,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, IVCN,  84,   0N,    0W,  67,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, IVCN,  96,   0N,    0W,  73,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, IVCN, 108,   0N,    0W,  80,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, IVCN, 120,   0N,    0W,  83,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, LGEM,   0, 105N,  155W,  20,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, LGEM,  12, 105N,  185W,  22,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, LGEM,  24, 107N,  212W,  26,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, LGEM,  36, 109N,  241W,  32,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, LGEM,  48, 113N,  271W,  37,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, LGEM,  60, 120N,  300W,  42,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, LGEM,  72, 127N,  326W,  48,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, LGEM,  84, 134N,  350W,  55,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, LGEM,  96, 140N,  368W,  63,    0, TS,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, LGEM, 108, 150N,  388W,  71,    0, HU,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, LGEM, 120, 164N,  406W,  75,    0, HU,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, OCD5,   0, 105N,  155W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, OCD5,  12, 104N,  186W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, OCD5,  24, 106N,  216W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, OCD5,  36, 110N,  245W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, OCD5,  48, 115N,  275W,  38,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, OCD5,  60, 116N,  307W,  44,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, OCD5,  72, 117N,  337W,  50,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, OCD5,  84, 125N,  367W,  55,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, OCD5,  96, 136N,  394W,  58,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, OCD5, 108, 149N,  421W,  62,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, OCD5, 120, 163N,  444W,  49,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, SHF5,   0,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 90, 2019092200, 03, SHF5,  12,   0N,    0W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
