AL, 06, 2019082218, 03, AP14,   0, 242N,  778W,  16, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP14,   6, 241N,  778W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP14,  12, 249N,  792W,  20, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP14,  18, 249N,  806W,  18, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP14,  24, 259N,  806W,  17, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP14,  30, 262N,  811W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP14,  36, 262N,  815W,  19, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP14,  42, 262N,  818W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP14,  48, 265N,  819W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP14,  54, 262N,  824W,  12, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP14,  60, 259N,  826W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP14,  66, 268N,  827W,  13, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP14,  72, 269N,  824W,  16, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP14,  78, 267N,  826W,  14, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP14,  84, 272N,  825W,  15, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP14,  90, 278N,  826W,  14, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP14,  96, 281N,  817W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP15,   0, 240N,  780W,  14, 1015, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP15,   6, 243N,  788W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP15,  12, 244N,  795W,  15, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP15,  18, 246N,  806W,  15, 1014, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP15,  24, 252N,  807W,  12, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP15,  30, 257N,  814W,  13, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP15,  36, 256N,  818W,  14, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP15,  42, 253N,  822W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP15,  48, 256N,  827W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP15,  54, 256N,  831W,   9, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP15,  60, 256N,  837W,  11, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP15,  66, 259N,  841W,  10, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 06, 2019082218, 03, AP15,  72, 268N,  836W,  12, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
