AL, 99, 2019092012, 03,  UKX,  48, 128N,  599W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03,  UKX,  60, 143N,  620W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03,  UKX,  72, 162N,  641W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03,  UKX,  84, 179N,  655W,  19, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03,  UKX,  96, 202N,  662W,  22, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03,  UKX, 108, 236N,  646W,  22, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03,  UKX, 120, 264N,  618W,  28,  994, XX,  34, NEQ,    0,    0,    0,  343, 
AL, 99, 2019092012, 03, AC00,   0,  92N,  476W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AC00,   6,  95N,  497W,  25, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AC00,  12,  95N,  514W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AC00,  18,  95N,  532W,  29, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AC00,  24,  95N,  546W,  29, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AC00,  30,  97N,  558W,  30, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AC00,  36, 100N,  572W,  33, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AC00,  42, 105N,  583W,  36, 1005, XX,  34, NEQ,   66,   51,    0,    0, 
AL, 99, 2019092012, 03, AC00,  48, 110N,  594W,  33, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AC00,  54, 115N,  603W,  33, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AC00,  60, 122N,  612W,  35, 1007, XX,  34, NEQ,   73,   74,    0,    0, 
AL, 99, 2019092012, 03, AC00,  66, 130N,  621W,  36, 1004, XX,  34, NEQ,   73,   47,    0,    0, 
AL, 99, 2019092012, 03, AC00,  72, 136N,  631W,  37, 1005, XX,  34, NEQ,   77,   67,    0,    0, 
AL, 99, 2019092012, 03, AC00,  78, 144N,  640W,  33, 1003, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AC00,  84, 150N,  648W,  31, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AC00,  90, 156N,  655W,  31, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AC00,  96, 161N,  661W,  29, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AC00, 102, 169N,  661W,  29, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AC00, 108, 178N,  659W,  29, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AC00, 114, 188N,  656W,  28, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AC00, 120, 202N,  651W,  28, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AC00, 126, 217N,  641W,  28, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AC00, 132, 229N,  627W,  28, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AC00, 138, 243N,  613W,  29, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AC00, 144, 260N,  596W,  31, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AEMN,   0,  94N,  478W,  26, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AEMN,   6,  94N,  498W,  26, 1010, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AEMN,  12,  94N,  516W,  28, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AEMN,  18,  94N,  533W,  29, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AEMN,  24,  96N,  547W,  31, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AEMN,  30,  98N,  562W,  32, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AEMN,  36, 102N,  576W,  33, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AEMN,  42, 107N,  588W,  33, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AEMN,  48, 112N,  599W,  33, 1008, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AEMN,  54, 119N,  608W,  32, 1006, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AEMN,  60, 124N,  617W,  34, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AEMN,  66, 130N,  626W,  35, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AEMN,  72, 136N,  634W,  36, 1005, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 99, 2019092012, 03, AEMN,  78, 145N,  643W,  36, 1004, XX,  34, NEQ,    0,    0,    0,    0, 
