AL, 01, 2018052118, 03, OCD5,   0, 178N,  847W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, OCD5,  12, 183N,  863W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, OCD5,  24, 188N,  879W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, OCD5,  36, 196N,  892W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, OCD5,  48, 203N,  902W,  26,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, OCD5,  60, 215N,  900W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, OCD5,  72, 226N,  899W,  29,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, OCD5,  84, 236N,  909W,  32,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, OCD5,  96, 248N,  908W,  31,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, OCD5, 108, 260N,  921W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, OCD5, 120, 271N,  932W,  36,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, SHF5,   0,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, SHF5,  12,   0N,    0W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, SHF5,  24,   0N,    0W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, SHF5,  36,   0N,    0W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, SHF5,  48,   0N,    0W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, SHF5,  60,   0N,    0W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, SHF5,  72,   0N,    0W,  21,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, SHF5,  84,   0N,    0W,  24,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, SHF5,  96,   0N,    0W,  23,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, SHF5, 108,   0N,    0W,  20,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, SHF5, 120,   0N,    0W,  28,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, SHIP,   0, 178N,  846W,  20,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, SHIP,  12, 182N,  855W,  22,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, SHIP,  24, 188N,  861W,  23,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, SHIP,  36, 196N,  866W,  24,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, SHIP,  48, 205N,  870W,  22,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, SHIP,  60, 212N,  870W,  22,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, SHIP,  72, 217N,  871W,  20,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, SHIP,  84, 221N,  871W,  18,    0, TD,   0,    ,    0,    0,    0,    0, 
AL, 01, 2018052118, 03, SHIP,  96, 223N,  876W,  23,    0, TD,   0,    ,    0,    0,    0,    0, 
