AL, 04, 2018080400, 03,  NGX,  36, 332N,  486W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03,  NGX,  42, 326N,  493W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03,  NGX,  48, 321N,  496W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03,  NGX,  54, 319N,  496W,  20, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03,  NGX,  60, 322N,  492W,  21, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03,  NGX,  66, 328N,  487W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03,  NGX,  72, 339N,  482W,  22, 1013, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03,  NGX,  84, 361N,  470W,  27, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03,  NGX,  96, 388N,  456W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03,  NGX, 108, 417N,  443W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03,  NGX, 120, 438N,  424W,  20, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CEMN,   0, 380N,  420W,  29, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CEMN,   6, 374N,  434W,  28, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CEMN,  12, 365N,  445W,  27, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CEMN,  18, 356N,  456W,  25, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CEMN,  24, 348N,  464W,  24, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CEMN,  30, 342N,  472W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CEMN,  36, 333N,  479W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CEMN,  42, 329N,  484W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CEMN,  48, 326N,  488W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CEMN,  54, 325N,  489W,  21, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CEMN,  60, 329N,  489W,  22, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CEMN,  66, 335N,  487W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CEMN,  72, 343N,  484W,  22, 1012, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CEMN,  78, 351N,  482W,  23, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CEMN,  84, 358N,  478W,  24, 1011, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CEMN,  90, 372N,  474W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CEMN,  96, 378N,  476W,  23, 1009, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CEMN, 102, 382N,  474W,  25, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CEMN, 108, 394N,  471W,  26, 1007, XX,  34, NEQ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CLP5,  12, 381N,  454W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CLP5,  24, 379N,  479W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CLP5,  36, 377N,  502W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CLP5,  48, 383N,  516W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CLP5,  60, 385N,  517W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CLP5,  72, 386N,  508W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CLP5,  84, 386N,  496W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CLP5,  96, 396N,  490W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CLP5, 108, 404N,  488W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, CLP5, 120, 409N,  488W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, DSHP,   0, 389N,  421W,  35,    0, EX,   0,    ,    0,    0,    0,    0, 
AL, 04, 2018080400, 03, DSHP,  12, 371N,  455W,  38,    0, EX,   0,    ,    0,    0,    0,    0, 
